accession	strain_name	collection_date	geo_location	host	seqnames	start	end	width	strand	type	gene	codon_start	product	protein_id	loctype	gene_id	transcript_id	function.
KC535393	A/New York/01/2010	2010	USA	Homo sapiens	A/New York/01/2010	1	1701	1701	+	CDS	HA	1	hemagglutinin	AGF68758.1	normal	HA	HA.1	receptor binding and fusion protein
GQ385864	A/Colorado/01/2009	01-Jan-2009	USA: Colorado state	Homo sapiens	A/Colorado/01/2009	1	1701	1701	+	CDS	HA	1	hemagglutinin	ACT67792.1	normal	HA	HA.1	NA
GQ369814	A/Colorado/12/2008	17-Dec-2008	USA: Colorado state	Homo sapiens	A/Colorado/12/2008	1	1701	1701	+	CDS	HA	1	hemagglutinin	ACT34398.1	normal	HA	HA.1	NA
KY090302	A/Colorado/30/2014	06-Dec-2014	USA	Homo sapiens	A/Colorado/30/2014	1	1701	1701	+	CDS	HA	1	hemagglutinin	APB90987.1	normal	HA	HA.1	receptor binding and fusion protein
KY089394	A/Colorado/11/2015	21-Jan-2015	USA	Homo sapiens	A/Colorado/11/2015	1	1701	1701	+	CDS	HA	1	hemagglutinin	APB89634.1	normal	HA	HA.1	receptor binding and fusion protein
KF790104	A/Colorado/18/2012	13-Oct-2012	USA	Homo sapiens	A/Colorado/18/2012	1	1701	1701	+	CDS	HA	1	hemagglutinin	AGZ61126.1	normal	HA	HA.1	receptor binding and fusion protein
KC892190	A/Colorado/07/2011	23-Oct-2011	USA	Homo sapiens	A/Colorado/07/2011	1	1701	1701	+	CDS	HA	1	hemagglutinin	AGL06140.1	normal	HA	HA.1	receptor binding and fusion protein
KX917820	A/Colorado/36/2016	22-Apr-2016	USA	Homo sapiens	A/Colorado/36/2016	18	1718	1701	+	CDS	HA	1	hemagglutinin	AOT91174.1	normal	HA	HA.1	receptor binding and fusion protein
EU199258	A/Colorado/04/2007	17-Jan-2007	USA	Homo sapiens	A/Colorado/04/2007	1	1701	1701	+	CDS	HA	1	hemagglutinin	ABW23245.1	normal	HA	HA.1	NA
CY245430	A/Colorado/13/2017	12-Aug-2017	USA: Colorado	Homo sapiens; gender M; age 79	A/Colorado/13/2017	18	1718	1701	+	CDS	HA	1	hemagglutinin	ATI23281.1	normal	HA	HA.1	receptor binding and fusion protein
PX706687	A/Colorado/108/2025	04-Sep-2025	USA: Colorado	Homo sapiens	A/Colorado/108/2025	18	1718	1701	+	CDS	HA	1	hemagglutinin	YCB17075.1	normal	HA	HA.1	receptor binding and fusion protein
PQ841754	A/Colorado/201/2024	21-Sep-2024	USA: Colorado	Homo sapiens	A/Colorado/201/2024	18	1718	1701	+	CDS	HA	1	hemagglutinin	XLZ89225.1	normal	HA	HA.1	receptor binding and fusion protein
PP878908	A/West Virginia/22/2024	07-Feb-2024	USA: West Virginia	Homo sapiens	A/West Virginia/22/2024	18	1718	1701	+	CDS	HA	1	hemagglutinin	XBP23126.1	normal	HA	HA.1	receptor binding and fusion protein
PV894309	A/West Virginia/45/2025	29-Mar-2025	USA: West Virginia	Homo sapiens	A/West Virginia/45/2025	18	1718	1701	+	CDS	HA	1	hemagglutinin	XXL70413.1	normal	HA	HA.1	receptor binding and fusion protein
CY214546	A/West Virginia/12/2016	07-Dec-2016	USA: West Virginia	Homo sapiens; gender F; age 86	A/West Virginia/12/2016	18	1718	1701	+	CDS	HA	1	hemagglutinin	AQI13085.1	normal	HA	HA.1	receptor binding and fusion protein
CY225198	A/West Virginia/06/2017	01-Feb-2017	USA: West Virginia	Homo sapiens; gender F; age 7	A/West Virginia/06/2017	18	1718	1701	+	CDS	HA	1	hemagglutinin	ARH16501.1	normal	HA	HA.1	receptor binding and fusion protein
MH586508	A/West Virginia/07/2018	29-Jan-2018	USA: West Virginia	Homo sapiens	A/West Virginia/07/2018	18	1718	1701	+	CDS	HA	1	hemagglutinin	AXA19491.1	normal	HA	HA.1	receptor binding and fusion protein
MH897930	A/West Virginia/09/2018	06-Feb-2018	USA: West Virginia	Homo sapiens	A/West Virginia/09/2018	18	1718	1701	+	CDS	HA	1	hemagglutinin	AXY84103.1	normal	HA	HA.1	receptor binding and fusion protein
MN319425	A/West Virginia/30/2019	03-Apr-2019	USA: West Virginia	Homo sapiens	A/West Virginia/30/2019	18	1718	1701	+	CDS	HA	1	hemagglutinin	QED95634.1	normal	HA	HA.1	receptor binding and fusion protein
KC892958	A/West Virginia/17/2012	05-Aug-2012	USA	Homo sapiens	A/West Virginia/17/2012	1	1701	1701	+	CDS	HA	1	hemagglutinin	AGL07167.1	normal	HA	HA.1	receptor binding and fusion protein
